CATEGORY,CLASS,TYPE,NAME,DATE/TIME,MARKET,SELECTION,STATUS,DISPLAYED,DISPORDER,MIN BET,MAX BET,MAX TOTAL,STK/LBT,LIVE PRICE,SP GUIDE,FB RESULT,EXT KEY,MULT KEY,CHANNELS
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|2nd Goal|","|$teamA|",A,Y,1,0.03,,,L,1/100,,,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|2nd Goal|","|No Goal|",A,Y,2,0.03,,,L,1/100,,,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|2nd Goal|","|$teamB|",A,Y,3,0.03,,,L,1/100,,,,EVE,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|3rd Goal|","|$teamA|",A,Y,1,0.03,,,L,1/100,,,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|3rd Goal|","|No Goal|",A,Y,2,0.03,,,L,1/100,,,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|3rd Goal|","|$teamB|",A,Y,3,0.03,,,L,1/100,,,,EVE,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|4th Goal|","|$teamA|",A,Y,1,0.03,,,L,1/100,,,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|4th Goal|","|No Goal|",A,Y,2,0.03,,,L,1/100,,,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|4th Goal|","|$teamB|",A,Y,3,0.03,,,L,1/100,,,,EVE,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5th Goal|","|$teamA|",A,Y,1,0.03,,,L,1/100,,,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5th Goal|","|No Goal|",A,Y,2,0.03,,,L,1/100,,,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5th Goal|","|$teamB|",A,Y,3,0.03,,,L,1/100,,,,EVE,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|2nd Half First Goal|","|$teamA|",A,Y,10,0.03,,,L,1/100,,,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|2nd Half First Goal|","|No Goal|",A,Y,20,0.03,,,L,1/100,,,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|2nd Half First Goal|","|$teamB|",A,Y,30,0.03,,,L,1/100,,,,EVE,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Time Of 1st Goal Over/Under|","|Up To And Including 15th Minute|",A,Y,10,0.03,,,L,1/100,,,,,
